类别,股票代码,日期,快线强弱,红柱数量,大陆代码
golden,603685,2019-07-26,down0,3,sh.603685
golden,603707,2019-07-26,up0,3,sh.603707
golden,603708,2019-07-26,up0,3,sh.603708
golden,603711,2019-07-25,down0,4,sh.603711
golden,603722,2019-07-16,down0,11,sh.603722
golden,603726,2019-07-30,down0,1,sh.603726
golden,603730,2019-07-30,up0,1,sh.603730
golden,603737,2019-07-24,up0,5,sh.603737
golden,603757,2019-07-29,down0,2,sh.603757
golden,603768,2019-07-30,down0,1,sh.603768
golden,603773,2019-07-26,down0,3,sh.603773
golden,603776,2019-07-30,down0,1,sh.603776
golden,603790,2019-07-24,down0,5,sh.603790
golden,603799,2019-07-29,down0,2,sh.603799
golden,603801,2019-07-30,down0,1,sh.603801
golden,603803,2019-07-29,down0,2,sh.603803
golden,603806,2019-07-26,up0,3,sh.603806
golden,603816,2019-07-30,down0,1,sh.603816
golden,603819,2019-07-26,up0,3,sh.603819
golden,603822,2019-07-26,up0,3,sh.603822
golden,603823,2019-07-23,down0,6,sh.603823
golden,603825,2019-07-30,down0,1,sh.603825
golden,603828,2019-07-29,down0,2,sh.603828
golden,603843,2019-07-26,down0,3,sh.603843
golden,603859,2019-07-24,up0,5,sh.603859
golden,603860,2019-07-26,up0,3,sh.603860
golden,603866,2019-07-25,down0,4,sh.603866
golden,603871,2019-07-24,up0,5,sh.603871
golden,603878,2019-07-25,down0,4,sh.603878
golden,603880,2019-07-30,up0,1,sh.603880
golden,603881,2019-07-26,down0,3,sh.603881
golden,603888,2019-07-30,down0,1,sh.603888
golden,603890,2019-07-30,down0,1,sh.603890
golden,603898,2019-07-30,down0,1,sh.603898
golden,603901,2019-07-30,down0,1,sh.603901
golden,603906,2019-07-30,down0,1,sh.603906
golden,603909,2019-07-24,down0,5,sh.603909
golden,603918,2019-07-26,down0,3,sh.603918
golden,603920,2019-07-29,down0,2,sh.603920
golden,603928,2019-07-30,down0,1,sh.603928
golden,603963,2019-07-25,down0,4,sh.603963
golden,603978,2019-07-30,up0,1,sh.603978
golden,603989,2019-07-30,down0,1,sh.603989
golden,603997,2019-07-30,down0,1,sh.603997
golden,603999,2019-07-26,down0,3,sh.603999
